timestamp,aggr_p,aggr_s,aggr_q,aircon_p,aircon_s,aircon_q,hdryer_p,hdryer_s,hdryer_q,wboiler_p,wboiler_s,wboiler_q,ecooker_p,ecooker_s,ecooker_q,dehumid_p,dehumid_s,dehumid_q,fridge_p,fridge_s,fridge_q,aheater_p,aheater_s,aheater_q,ciron_p,ciron_s,ciron_q,rcooker_p,rcooker_s,rcooker_q,tv_p,tv_s,tv_q,vhood_p,vhood_s,vhood_q,washer_p,washer_s,washer_q
1522540800,19.31,16.72,3.43,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.080566615,-0.37567,-0.404715385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540801,19.16,17.24,4.00,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.069963385,0.14419,0.163834615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540802,19.29,17.08,3.82,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.058786615,-0.00936,-0.021705385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540803,19.22,17.51,4.27,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.014133385,0.41266,0.426444615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540804,19.31,16.57,3.29,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.079126615,-0.51988,-0.553605385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540805,19.18,17.39,4.15,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.056933385,0.29483,0.314854615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540806,19.30,16.98,3.71,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.070966615,-0.11159,-0.129805385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540807,19.36,17.78,4.51,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.130226615,0.68202,0.671184615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540808,19.25,16.96,3.70,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.011396615,-0.1302,-0.134695385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540809,19.26,17.12,3.86,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.028176615,0.02848,0.024294615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540810,19.18,17.31,4.07,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.052003385,0.21437,0.231784615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540811,19.07,17.26,4.04,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.166425385,0.16407,0.202614615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540812,19.13,16.30,3.05,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.099787385,-0.79392,-0.790485385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540813,19.30,16.98,3.71,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,0.062246615,-0.11564,-0.131845385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1522540814,19.16,18.07,4.85,0,0,0,0,0,0,0,0,0,0,0,0,19.23371361,17.09333016,3.839086667,-0.074373385,0.97907,1.013994615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
